2025-02-11T08:13:31.717287-05:00 - INFO - input circuit = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }]
2025-02-11T08:13:36.613597-05:00 - INFO - n_sampled = 275132, replacement = [Gate { wires: [3, 2, 0], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [4, 2, 9], control_func: 15 }, Gate { wires: [3, 4, 0], control_func: 6 }], time = 75.572292ms
2025-02-11T08:13:36.660270-05:00 - INFO - n_sampled = 114691, replacement = [Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 0, 4], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 6 }, Gate { wires: [3, 4, 0], control_func: 15 }], time = 46.662125ms
2025-02-11T08:13:36.717682-05:00 - INFO - n_sampled = 196995, replacement = [Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [0, 4, 7], control_func: 15 }, Gate { wires: [1, 0, 4], control_func: 15 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 57.398959ms
2025-02-11T08:13:36.745960-05:00 - INFO - n_sampled = 121313, replacement = [Gate { wires: [2, 1, 8], control_func: 15 }, Gate { wires: [0, 9, 8], control_func: 15 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 28.267459ms
2025-02-11T08:13:36.833636-05:00 - INFO - n_sampled = 376714, replacement = [Gate { wires: [3, 5, 0], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [5, 4, 2], control_func: 15 }, Gate { wires: [3, 0, 4], control_func: 6 }], time = 87.664875ms
2025-02-11T08:13:36.891027-05:00 - INFO - n_sampled = 189262, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 6], control_func: 15 }, Gate { wires: [4, 1, 2], control_func: 15 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 57.319458ms
2025-02-11T08:13:36.963161-05:00 - INFO - n_sampled = 247823, replacement = [Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 0, 4], control_func: 5 }, Gate { wires: [1, 10, 4], control_func: 15 }, Gate { wires: [3, 0, 2], control_func: 12 }], time = 72.109292ms
2025-02-11T08:13:37.072070-05:00 - INFO - n_sampled = 396069, replacement = [Gate { wires: [3, 0, 4], control_func: 5 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [2, 4, 6], control_func: 15 }, Gate { wires: [3, 0, 4], control_func: 12 }], time = 108.896042ms
2025-02-11T08:13:37.100881-05:00 - INFO - n_sampled = 100469, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 2, 0], control_func: 6 }, Gate { wires: [3, 4, 2], control_func: 9 }, Gate { wires: [4, 1, 0], control_func: 15 }], time = 28.802333ms
2025-02-11T08:13:37.115884-05:00 - INFO - n_sampled = 53099, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [9, 0, 2], control_func: 3 }, Gate { wires: [9, 0, 1], control_func: 3 }], time = 14.995583ms
