2025-02-11T08:12:31.580486-05:00 - INFO - input circuit = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }]
2025-02-11T08:12:48.595485-05:00 - INFO - n_sampled = 110704, replacement = [Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [3, 0, 1], control_func: 0 }, Gate { wires: [0, 4, 6], control_func: 0 }], time = 32.098125ms
2025-02-11T08:12:48.808185-05:00 - INFO - n_sampled = 802933, replacement = [Gate { wires: [7, 0, 2], control_func: 7 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [7, 0, 2], control_func: 7 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 212.678417ms
2025-02-11T08:12:49.693467-05:00 - INFO - n_sampled = 3293506, replacement = [Gate { wires: [0, 1, 9], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 6 }, Gate { wires: [0, 4, 9], control_func: 0 }], time = 885.240709ms
2025-02-11T08:12:49.876906-05:00 - INFO - n_sampled = 674434, replacement = [Gate { wires: [3, 4, 0], control_func: 3 }, Gate { wires: [0, 1, 2], control_func: 12 }, Gate { wires: [0, 2, 1], control_func: 8 }, Gate { wires: [3, 0, 9], control_func: 12 }], time = 183.292708ms
2025-02-11T08:12:50.833034-05:00 - INFO - n_sampled = 3578650, replacement = [Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 0, 4], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [0, 8, 6], control_func: 0 }], time = 956.095625ms
2025-02-11T08:12:51.114555-05:00 - INFO - n_sampled = 1072166, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [0, 4, 2], control_func: 12 }, Gate { wires: [3, 0, 10], control_func: 3 }, Gate { wires: [0, 4, 2], control_func: 12 }], time = 281.43975ms
2025-02-11T08:12:51.392975-05:00 - INFO - n_sampled = 1072378, replacement = [Gate { wires: [3, 4, 0], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [0, 7, 4], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 6 }], time = 278.384833ms
2025-02-11T08:12:51.621867-05:00 - INFO - n_sampled = 839971, replacement = [Gate { wires: [0, 2, 8], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 6 }, Gate { wires: [0, 6, 2], control_func: 0 }], time = 228.854542ms
2025-02-11T08:12:51.825488-05:00 - INFO - n_sampled = 769539, replacement = [Gate { wires: [3, 0, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 2], control_func: 4 }], time = 203.60075ms
2025-02-11T08:12:51.954715-05:00 - INFO - n_sampled = 488612, replacement = [Gate { wires: [0, 10, 3], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 0, 10], control_func: 3 }, Gate { wires: [3, 4, 10], control_func: 12 }], time = 129.213292ms
