2025-02-11T08:14:29.141155-05:00 - INFO - input circuit = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }]
2025-02-11T08:14:44.635812-05:00 - INFO - n_sampled = 60219, replacement = [Gate { wires: [0, 1, 10], control_func: 12 }, Gate { wires: [3, 4, 0], control_func: 12 }, Gate { wires: [0, 1, 2], control_func: 8 }, Gate { wires: [3, 9, 0], control_func: 5 }], time = 14.836417ms
2025-02-11T08:14:44.826240-05:00 - INFO - n_sampled = 714978, replacement = [Gate { wires: [3, 0, 4], control_func: 10 }, Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [3, 0, 4], control_func: 12 }, Gate { wires: [0, 5, 10], control_func: 0 }], time = 190.409375ms
2025-02-11T08:14:45.313480-05:00 - INFO - n_sampled = 1635062, replacement = [Gate { wires: [0, 3, 2], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [3, 0, 4], control_func: 7 }, Gate { wires: [3, 0, 4], control_func: 14 }], time = 487.186833ms
2025-02-11T08:14:45.597018-05:00 - INFO - n_sampled = 999092, replacement = [Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [3, 4, 5], control_func: 3 }, Gate { wires: [0, 3, 5], control_func: 0 }, Gate { wires: [3, 2, 0], control_func: 10 }], time = 283.45825ms
2025-02-11T08:14:45.753117-05:00 - INFO - n_sampled = 601478, replacement = [Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [1, 0, 4], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [1, 8, 2], control_func: 0 }], time = 156.051083ms
2025-02-11T08:14:46.997031-05:00 - INFO - n_sampled = 4382728, replacement = [Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [1, 4, 2], control_func: 2 }, Gate { wires: [1, 2, 4], control_func: 4 }], time = 1.243842292s
2025-02-11T08:14:47.138252-05:00 - INFO - n_sampled = 512890, replacement = [Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 0, 4], control_func: 5 }, Gate { wires: [3, 9, 0], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 5 }], time = 141.068834ms
2025-02-11T08:14:47.224471-05:00 - INFO - n_sampled = 360671, replacement = [Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [0, 3, 4], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 10 }, Gate { wires: [3, 9, 4], control_func: 5 }], time = 86.198667ms
2025-02-11T08:14:47.293402-05:00 - INFO - n_sampled = 266307, replacement = [Gate { wires: [0, 2, 1], control_func: 1 }, Gate { wires: [0, 3, 2], control_func: 10 }, Gate { wires: [3, 0, 4], control_func: 6 }, Gate { wires: [0, 8, 1], control_func: 0 }], time = 68.884833ms
2025-02-11T08:14:47.548460-05:00 - INFO - n_sampled = 926182, replacement = [Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [0, 1, 5], control_func: 10 }, Gate { wires: [0, 5, 3], control_func: 3 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 254.937208ms
2025-02-11T08:14:47.834638-05:00 - INFO - n_sampled = 1043614, replacement = [Gate { wires: [0, 3, 6], control_func: 0 }, Gate { wires: [0, 7, 6], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 286.076041ms
2025-02-11T08:14:47.974649-05:00 - INFO - n_sampled = 455036, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [1, 0, 8], control_func: 5 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [1, 3, 8], control_func: 5 }], time = 139.988ms
2025-02-11T08:14:49.533565-05:00 - INFO - n_sampled = 5334696, replacement = [Gate { wires: [0, 1, 2], control_func: 9 }, Gate { wires: [3, 1, 0], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 11 }, Gate { wires: [3, 0, 4], control_func: 6 }], time = 1.558837209s
2025-02-11T08:14:50.319837-05:00 - INFO - n_sampled = 2864210, replacement = [Gate { wires: [0, 4, 1], control_func: 0 }, Gate { wires: [0, 4, 1], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 786.09575ms
2025-02-11T08:14:50.472341-05:00 - INFO - n_sampled = 523017, replacement = [Gate { wires: [0, 5, 1], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 10 }, Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 0, 2], control_func: 3 }], time = 152.431167ms
2025-02-11T08:14:51.243957-05:00 - INFO - n_sampled = 2569521, replacement = [Gate { wires: [0, 9, 1], control_func: 9 }, Gate { wires: [0, 1, 2], control_func: 8 }, Gate { wires: [0, 1, 9], control_func: 5 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 771.49375ms
2025-02-11T08:14:51.264547-05:00 - INFO - n_sampled = 79260, replacement = [Gate { wires: [0, 2, 7], control_func: 12 }, Gate { wires: [0, 2, 1], control_func: 14 }, Gate { wires: [3, 0, 4], control_func: 8 }, Gate { wires: [3, 4, 0], control_func: 1 }], time = 20.521709ms
2025-02-11T08:14:51.497161-05:00 - INFO - n_sampled = 767516, replacement = [Gate { wires: [0, 9, 7], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [3, 0, 1], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 6 }], time = 232.565583ms
2025-02-11T08:14:51.762441-05:00 - INFO - n_sampled = 930491, replacement = [Gate { wires: [0, 7, 8], control_func: 0 }, Gate { wires: [0, 9, 1], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 265.231291ms
2025-02-11T08:14:52.074044-05:00 - INFO - n_sampled = 1154938, replacement = [Gate { wires: [0, 1, 2], control_func: 7 }, Gate { wires: [3, 2, 0], control_func: 0 }, Gate { wires: [0, 5, 1], control_func: 5 }, Gate { wires: [3, 4, 0], control_func: 6 }], time = 311.524625ms
2025-02-11T08:14:52.121378-05:00 - INFO - n_sampled = 176252, replacement = [Gate { wires: [3, 1, 10], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [0, 4, 3], control_func: 0 }], time = 47.275042ms
2025-02-11T08:14:52.158304-05:00 - INFO - n_sampled = 133685, replacement = [Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 8, 0], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [0, 4, 7], control_func: 0 }], time = 36.911542ms
2025-02-11T08:14:53.016896-05:00 - INFO - n_sampled = 2823445, replacement = [Gate { wires: [0, 1, 3], control_func: 12 }, Gate { wires: [0, 1, 2], control_func: 8 }, Gate { wires: [3, 0, 1], control_func: 3 }, Gate { wires: [3, 2, 4], control_func: 10 }], time = 858.565083ms
